id,u,v,key,osmid,length,name
1670,1264369074,2083295446,0,198723469,46.467,Avenida los Incas
1671,1264369074,10801219429,0,"[1186045873, 1161291132]",8.436,
1672,1264369074,2083295453,0,198723469,47.24,Avenida los Incas
1673,1264369170,5432125026,0,1184486862,68.69500000000001,Calle Santa Marta
1674,1281950261,10062503681,0,405722947,6.479,Avenida José Abelardo Quiñones
1675,1281950261,10012297937,0,405722947,18.907,Avenida José Abelardo Quiñones
1676,1284479729,5468201555,0,110819758,25.547,Calle Jerusalén
1677,1284479729,1284479907,0,534153225,138.332,Calle Puente Grau
1678,1284479729,10885702048,0,644545198,1.698,Calle Ayacucho
1679,1284479741,4365192387,0,370654146,234.613,Avenida de la Marina
1680,1284479757,1284479835,0,1270954407,35.742,Avenida de la Marina
1681,1284479757,7105789187,0,113213187,4.102,Avenida de la Marina
1682,1284479766,2100151394,0,595221513,38.765,
1683,1284479773,4055463399,0,705778696,42.004999999999995,
1684,1284479773,4055463394,0,1276425076,48.842,Avenida de la Marina
1685,1284479792,3761708754,0,110825864,12.567,Pasaje Ibáñez
1686,1284479792,1284479850,0,370654129,110.88399999999999,Avenida de la Marina
1687,1284479792,4075477909,0,370654129,22.331,Avenida de la Marina
1688,1284479802,1736356090,0,113213184,37.433,Juan del la Torre
1689,1284479802,1284479890,0,200029111,29.895,
1690,1284479802,10923389527,0,113213185,8.351,
1691,1284479803,4075477894,0,370654129,6.362,Avenida de la Marina
1692,1284479803,2906500704,0,557383917,8.001,Calle Palacio Viejo
1693,1284479824,8162371803,0,110817424,34.963,San Francisco
1694,1284479824,5468179469,0,110829876,33.338,Calle Francisco de Zela
1695,1284479839,4055452457,0,403167388,62.842,Avenida de la Marina
1696,1284479839,7105789186,0,403167388,77.549,Avenida de la Marina
1697,1284479843,10885702050,0,42551429,76.464,Carlos Llosa
1698,1284479843,2084081651,0,110830641,55.149,Veliz
1699,1284479850,3605978253,0,370654129,8.859,Avenida de la Marina
1700,1284479850,3761708750,0,941638919,11.469,Pasaje Del Solar
1701,1284479856,5411420138,0,561142384,68.545,
1702,1284479856,1284563227,0,1284435488,25.919,Garanios
1703,1284479860,10885702050,0,42551429,2.151,Carlos Llosa
1704,1284479860,5468201555,0,110819758,105.357,Calle Jerusalén
1705,1284479862,10923389527,0,113213185,59.285000000000004,
1706,1284479893,6061568164,0,42551431,15.244,Pasaje Violin
1707,1284479893,6061568167,0,110827661,17.019,Campo Redondo
1708,1284479907,2365980323,0,534153225,53.176,Calle Puente Grau
1709,1284563163,1284563347,0,113219939,39.370999999999995,
1710,1284563195,10885702043,0,110815337,1.667,Calle Mercaderes
1711,1284563195,4190894647,0,110815337,123.652,Calle Mercaderes
1712,1284563195,1284563454,0,426129060,121.527,Calle Jerusalén
1713,1284563195,10885702041,0,110806496,123.977,Calle San Juan de Dios
1714,1284563227,5375618199,0,557383923,194.555,Calle Manuel Ugarteche
1715,1284563347,1284563549,2,113219957,27.215999999999998,
1716,1284563347,1284563549,3,113219957,22.023000000000003,
1717,1284563421,10885702047,0,110815650,125.357,Calle Mariano Melgar
1718,1284563421,1284563660,0,110815650,120.005,Calle Mariano Melgar
1719,1284563454,9027081296,0,23994451,91.769,Calle Moral
1720,1284563454,10885702044,0,62002254,1.888,Calle San José
1721,1284563504,2795683724,0,198248244,67.69399999999999,
1722,1284563504,5150516925,0,356857773,204.25199999999998,Juan del la Torre
1723,1284563574,4441419625,0,391465236,69.638,Calle San Francisco
1724,1284563574,4110736812,0,23798530,74.93299999999999,Calle Ugarte
1725,1284563574,5380727094,0,1186024101,123.067,Calle San Francisco
1726,1284563660,4058288099,0,675622470,134.679,Calle Peral
1727,1292294891,5225033223,0,110819120,51.558,Calle Ernesto Loreto
1728,1292294891,5225033226,0,474240363,30.301,
